# time  hit_cache  total_cache  hit_cache/total_cache
233.0000 1 0 Infinity
238.0000 1 1 1.0000
315.0000 1 2 0.5000
315.0000 1 3 0.3333
453.0000 2 3 0.6667
467.0000 2 4 0.5000
620.0000 2 4 0.5000
622.0000 2 5 0.4000
627.0000 2 6 0.3333
630.0000 2 7 0.2857
631.0000 2 8 0.2500
633.0000 2 9 0.2222
634.0000 2 10 0.2000
635.0000 2 11 0.1818
636.0000 2 12 0.1667
637.0000 2 13 0.1538
639.0000 2 14 0.1429
640.0000 2 15 0.1333
640.0000 2 16 0.1250
641.0000 2 17 0.1176
643.0000 2 18 0.1111
649.0000 2 19 0.1053
650.0000 2 20 0.1000
650.0000 2 21 0.0952
653.0000 2 22 0.0909
653.0000 2 23 0.0870
654.0000 2 24 0.0833
654.0000 2 25 0.0800
657.0000 2 26 0.0769
657.0000 2 27 0.0741
658.0000 2 28 0.0714
659.0000 2 29 0.0690
662.0000 2 30 0.0667
667.0000 2 31 0.0645
669.0000 2 32 0.0625
672.0000 2 33 0.0606
673.0000 2 34 0.0588
674.0000 2 35 0.0571
674.0000 2 36 0.0556
678.0000 2 37 0.0541
678.0000 2 38 0.0526
678.0000 2 39 0.0513
681.0000 2 40 0.0500
681.0000 2 41 0.0488
682.0000 2 42 0.0476
688.0000 2 43 0.0465
689.0000 2 44 0.0455
689.0000 2 45 0.0444
689.0000 2 46 0.0435
694.0000 2 47 0.0426
700.0000 2 48 0.0417
700.0000 2 49 0.0408
702.0000 2 50 0.0400
703.0000 2 51 0.0392
704.0000 2 52 0.0385
707.0000 2 53 0.0377
707.0000 2 54 0.0370
708.0000 2 55 0.0364
708.0000 2 56 0.0357
710.0000 2 57 0.0351
711.0000 2 58 0.0345
712.0000 2 59 0.0339
712.0000 2 60 0.0333
713.0000 2 61 0.0328
713.0000 2 62 0.0323
713.0000 2 63 0.0317
714.0000 2 64 0.0313
715.0000 2 65 0.0308
717.0000 2 66 0.0303
718.0000 2 67 0.0299
718.0000 2 68 0.0294
719.0000 2 69 0.0290
720.0000 2 70 0.0286
722.0000 2 71 0.0282
722.0000 2 72 0.0278
725.0000 2 73 0.0274
726.0000 2 74 0.0270
726.0000 2 75 0.0267
729.0000 2 76 0.0263
729.0000 2 77 0.0260
729.0000 2 78 0.0256
730.0000 2 79 0.0253
731.0000 2 80 0.0250
732.0000 2 81 0.0247
733.0000 2 82 0.0244
733.0000 2 83 0.0241
734.0000 2 84 0.0238
735.0000 2 85 0.0235
735.0000 2 86 0.0233
739.0000 2 87 0.0230
740.0000 2 88 0.0227
742.0000 2 89 0.0225
744.0000 2 90 0.0222
744.0000 2 91 0.0220
745.0000 2 92 0.0217
748.0000 2 93 0.0215
751.0000 2 94 0.0213
754.0000 2 95 0.0211
758.0000 2 96 0.0208
760.0000 2 97 0.0206
760.0000 2 98 0.0204
761.0000 2 99 0.0202
762.0000 2 100 0.0200
763.0000 2 101 0.0198
768.0000 2 102 0.0196
768.0000 2 103 0.0194
771.0000 2 104 0.0192
778.0000 2 105 0.0190
781.0000 2 106 0.0189
785.0000 2 107 0.0187
793.0000 2 108 0.0185
794.0000 2 109 0.0183
797.0000 2 110 0.0182
808.0000 2 111 0.0180
810.0000 2 112 0.0179
814.0000 2 113 0.0177
819.0000 3 113 0.0265
827.0000 3 114 0.0263
830.0000 3 115 0.0261
840.0000 3 116 0.0259
850.0000 3 117 0.0256
875.0000 4 117 0.0342
1020.0000 4 118 0.0339
1074.0000 5 118 0.0424
1185.0000 6 118 0.0508
1196.0000 6 119 0.0504
1200.0000 6 120 0.0500
1203.0000 6 121 0.0496
1204.0000 6 122 0.0492
1207.0000 6 123 0.0488
1219.0000 6 124 0.0484
1223.0000 6 125 0.0480
1240.0000 6 126 0.0476
1243.0000 6 127 0.0472
1245.0000 6 128 0.0469
1249.0000 6 129 0.0465
1253.0000 6 130 0.0462
1256.0000 6 131 0.0458
1257.0000 6 131 0.0458
1257.0000 6 132 0.0455
1258.0000 6 133 0.0451
1260.0000 6 134 0.0448
1261.0000 6 135 0.0444
1264.0000 6 136 0.0441
1265.0000 6 137 0.0438
1266.0000 6 138 0.0435
1267.0000 6 139 0.0432
1268.0000 6 140 0.0429
1270.0000 6 141 0.0426
1270.0000 6 142 0.0423
1273.0000 6 143 0.0420
1277.0000 6 144 0.0417
1279.0000 6 145 0.0414
1279.0000 6 146 0.0411
1282.0000 6 147 0.0408
1283.0000 6 148 0.0405
1287.0000 6 149 0.0403
1288.0000 6 150 0.0400
1291.0000 6 151 0.0397
1292.0000 6 152 0.0395
1294.0000 6 153 0.0392
1296.0000 6 154 0.0390
1298.0000 6 155 0.0387
1299.0000 6 156 0.0385
1300.0000 6 157 0.0382
1304.0000 6 158 0.0380
1312.0000 6 158 0.0380
1313.0000 6 159 0.0377
1315.0000 6 160 0.0375
1320.0000 6 161 0.0373
1320.0000 6 162 0.0370
1322.0000 6 163 0.0368
1324.0000 6 164 0.0366
1324.0000 6 165 0.0364
1325.0000 6 166 0.0361
1326.0000 6 167 0.0359
1327.0000 6 168 0.0357
1327.0000 6 169 0.0355
1328.0000 6 170 0.0353
1330.0000 6 171 0.0351
1332.0000 6 172 0.0349
1332.0000 6 173 0.0347
1332.0000 6 174 0.0345
1334.0000 6 175 0.0343
1335.0000 6 176 0.0341
1336.0000 6 177 0.0339
1338.0000 6 178 0.0337
1340.0000 6 179 0.0335
1342.0000 6 180 0.0333
1343.0000 6 181 0.0331
1343.0000 6 182 0.0330
1345.0000 6 183 0.0328
1348.0000 6 184 0.0326
1349.0000 6 185 0.0324
1351.0000 6 186 0.0323
1352.0000 6 187 0.0321
1353.0000 6 188 0.0319
1353.0000 6 189 0.0317
1354.0000 6 190 0.0316
1355.0000 6 191 0.0314
1357.0000 6 192 0.0313
1357.0000 6 193 0.0311
1357.0000 6 194 0.0309
1358.0000 6 195 0.0308
1358.0000 6 196 0.0306
1362.0000 6 197 0.0305
1362.0000 6 198 0.0303
1365.0000 6 199 0.0302
1366.0000 6 200 0.0300
1366.0000 6 201 0.0299
1366.0000 6 202 0.0297
1367.0000 6 203 0.0296
1368.0000 6 204 0.0294
1370.0000 6 205 0.0293
1371.0000 6 206 0.0291
1371.0000 6 207 0.0290
1371.0000 6 208 0.0288
1371.0000 6 209 0.0287
1375.0000 6 210 0.0286
1375.0000 6 211 0.0284
1376.0000 6 212 0.0283
1377.0000 6 213 0.0282
1379.0000 6 214 0.0280
1379.0000 6 215 0.0279
1380.0000 6 216 0.0278
1381.0000 6 217 0.0276
1384.0000 6 218 0.0275
1384.0000 6 219 0.0274
1385.0000 6 220 0.0273
1386.0000 6 221 0.0271
1388.0000 6 222 0.0270
1389.0000 6 223 0.0269
1389.0000 6 224 0.0268
1389.0000 6 225 0.0267
1389.0000 6 226 0.0265
1393.0000 6 227 0.0264
1393.0000 6 228 0.0263
1393.0000 6 229 0.0262
1395.0000 6 230 0.0261
1396.0000 6 231 0.0260
1396.0000 6 232 0.0259
1397.0000 6 233 0.0258
1397.0000 6 234 0.0256
1397.0000 6 235 0.0255
1398.0000 6 236 0.0254
1401.0000 6 237 0.0253
1402.0000 6 238 0.0252
1402.0000 6 239 0.0251
1402.0000 6 240 0.0250
1405.0000 6 241 0.0249
1405.0000 6 242 0.0248
1405.0000 6 243 0.0247
1405.0000 6 244 0.0246
1405.0000 6 245 0.0245
1406.0000 6 246 0.0244
1407.0000 6 247 0.0243
1408.0000 6 248 0.0242
1408.0000 6 249 0.0241
1409.0000 6 250 0.0240
1410.0000 6 251 0.0239
1411.0000 6 252 0.0238
1412.0000 6 253 0.0237
1413.0000 6 254 0.0236
1413.0000 6 255 0.0235
1414.0000 6 256 0.0234
1414.0000 6 257 0.0233
1415.0000 6 258 0.0233
1415.0000 6 259 0.0232
1418.0000 6 260 0.0231
1419.0000 6 261 0.0230
1419.0000 6 262 0.0229
1421.0000 6 263 0.0228
1422.0000 6 264 0.0227
1424.0000 6 265 0.0226
1425.0000 6 266 0.0226
1425.0000 6 267 0.0225
1428.0000 6 268 0.0224
1430.0000 6 269 0.0223
1430.0000 6 270 0.0222
1432.0000 6 271 0.0221
1435.0000 6 272 0.0221
1438.0000 6 273 0.0220
1439.0000 6 274 0.0219
1441.0000 6 275 0.0218
1444.0000 6 276 0.0217
1445.0000 6 277 0.0217
1445.0000 6 278 0.0216
1446.0000 6 279 0.0215
1450.0000 6 280 0.0214
1480.0000 6 281 0.0214
1505.0000 6 282 0.0213
1510.0000 6 283 0.0212
1510.0000 6 284 0.0211
1523.0000 6 285 0.0211
1529.0000 6 286 0.0210
1551.0000 7 286 0.0245
1567.0000 7 287 0.0244
1681.0000 8 287 0.0279
1732.0000 8 287 0.0279
1733.0000 8 288 0.0278
1737.0000 8 289 0.0277
1741.0000 8 290 0.0276
1748.0000 8 291 0.0275
1750.0000 8 292 0.0274
1752.0000 8 293 0.0273
1755.0000 8 294 0.0272
1756.0000 8 295 0.0271
1759.0000 8 296 0.0270
1760.0000 8 297 0.0269
1764.0000 8 298 0.0268
1770.0000 8 299 0.0268
1770.0000 8 300 0.0267
1771.0000 8 301 0.0266
1771.0000 8 302 0.0265
1771.0000 8 303 0.0264
1771.0000 8 304 0.0263
1773.0000 8 305 0.0262
1776.0000 8 306 0.0261
1776.0000 8 307 0.0261
1777.0000 8 308 0.0260
1777.0000 8 309 0.0259
