# time  hit_cache  total_cache  hit_cache/total_cache
233.0000 1 0 Infinity
315.0000 1 1 1.0000
453.0000 2 1 2.0000
620.0000 2 1 2.0000
626.0000 2 2 1.0000
630.0000 2 3 0.6667
632.0000 2 4 0.5000
635.0000 2 5 0.4000
635.0000 2 6 0.3333
636.0000 2 7 0.2857
636.0000 2 8 0.2500
640.0000 2 9 0.2222
647.0000 2 10 0.2000
650.0000 2 11 0.1818
659.0000 2 12 0.1667
661.0000 2 13 0.1538
663.0000 2 14 0.1429
665.0000 2 15 0.1333
671.0000 2 16 0.1250
672.0000 2 17 0.1176
675.0000 2 18 0.1111
680.0000 2 19 0.1053
689.0000 2 20 0.1000
697.0000 2 21 0.0952
699.0000 2 22 0.0909
701.0000 2 23 0.0870
704.0000 2 24 0.0833
705.0000 2 25 0.0800
706.0000 2 26 0.0769
708.0000 2 27 0.0741
709.0000 2 28 0.0714
710.0000 2 29 0.0690
712.0000 2 30 0.0667
713.0000 2 31 0.0645
716.0000 2 32 0.0625
717.0000 2 33 0.0606
717.0000 2 34 0.0588
719.0000 2 35 0.0571
719.0000 2 36 0.0556
721.0000 2 37 0.0541
723.0000 2 38 0.0526
723.0000 2 39 0.0513
725.0000 2 40 0.0500
727.0000 2 41 0.0488
729.0000 2 42 0.0476
730.0000 2 43 0.0465
733.0000 2 44 0.0455
737.0000 2 45 0.0444
738.0000 2 46 0.0435
738.0000 2 47 0.0426
738.0000 2 48 0.0417
739.0000 2 49 0.0408
741.0000 2 50 0.0400
745.0000 2 51 0.0392
751.0000 2 52 0.0385
755.0000 2 53 0.0377
769.0000 2 54 0.0370
771.0000 2 55 0.0364
773.0000 2 56 0.0357
773.0000 2 57 0.0351
795.0000 2 58 0.0345
799.0000 2 59 0.0339
819.0000 3 59 0.0508
849.0000 3 60 0.0500
875.0000 4 60 0.0667
879.0000 4 61 0.0656
1074.0000 5 61 0.0820
1185.0000 6 61 0.0984
1200.0000 6 62 0.0968
1204.0000 6 63 0.0952
1217.0000 6 64 0.0938
1218.0000 6 65 0.0923
1223.0000 6 66 0.0909
1233.0000 6 67 0.0896
1237.0000 6 68 0.0882
1241.0000 6 69 0.0870
1247.0000 6 70 0.0857
1253.0000 6 71 0.0845
1257.0000 6 71 0.0845
1257.0000 6 72 0.0833
1258.0000 6 73 0.0822
1268.0000 6 74 0.0811
1268.0000 6 75 0.0800
1270.0000 6 76 0.0789
1271.0000 6 77 0.0779
1272.0000 6 78 0.0769
1276.0000 6 79 0.0759
1276.0000 6 80 0.0750
1279.0000 6 81 0.0741
1280.0000 6 82 0.0732
1286.0000 6 83 0.0723
1286.0000 6 84 0.0714
1287.0000 6 85 0.0706
1290.0000 6 86 0.0698
1290.0000 6 87 0.0690
1292.0000 6 88 0.0682
1293.0000 6 89 0.0674
1296.0000 6 90 0.0667
1296.0000 6 91 0.0659
1305.0000 6 92 0.0652
1305.0000 6 93 0.0645
1309.0000 6 94 0.0638
1311.0000 6 95 0.0632
1312.0000 6 95 0.0632
1313.0000 6 96 0.0625
1314.0000 6 97 0.0619
1317.0000 6 98 0.0612
1320.0000 6 99 0.0606
1321.0000 6 100 0.0600
1321.0000 6 101 0.0594
1324.0000 6 102 0.0588
1324.0000 6 103 0.0583
1325.0000 6 104 0.0577
1325.0000 6 105 0.0571
1325.0000 6 106 0.0566
1325.0000 6 107 0.0561
1328.0000 6 108 0.0556
1328.0000 6 109 0.0550
1331.0000 6 110 0.0545
1332.0000 6 111 0.0541
1332.0000 6 112 0.0536
1334.0000 6 113 0.0531
1336.0000 6 114 0.0526
1339.0000 6 115 0.0522
1339.0000 6 116 0.0517
1343.0000 6 117 0.0513
1345.0000 6 118 0.0508
1348.0000 6 119 0.0504
1348.0000 6 120 0.0500
1349.0000 6 121 0.0496
1350.0000 6 122 0.0492
1351.0000 6 123 0.0488
1353.0000 6 124 0.0484
1353.0000 6 125 0.0480
1353.0000 6 126 0.0476
1357.0000 6 127 0.0472
1358.0000 6 128 0.0469
1358.0000 6 129 0.0465
1361.0000 6 130 0.0462
1361.0000 6 131 0.0458
1361.0000 6 132 0.0455
1361.0000 6 133 0.0451
1364.0000 6 134 0.0448
1366.0000 6 135 0.0444
1369.0000 6 136 0.0441
1371.0000 6 137 0.0438
1372.0000 6 138 0.0435
1373.0000 6 139 0.0432
1373.0000 6 140 0.0429
1373.0000 6 141 0.0426
1373.0000 6 142 0.0423
1375.0000 6 143 0.0420
1376.0000 6 144 0.0417
1377.0000 6 145 0.0414
1377.0000 6 146 0.0411
1377.0000 6 147 0.0408
1377.0000 6 148 0.0405
1380.0000 6 149 0.0403
1380.0000 6 150 0.0400
1381.0000 6 151 0.0397
1382.0000 6 152 0.0395
1384.0000 6 153 0.0392
1384.0000 6 154 0.0390
1385.0000 6 155 0.0387
1385.0000 6 156 0.0385
1388.0000 6 157 0.0382
