# host  
2
# time  upstreamTraffic  downstreamTraffic 
250.0  0.0  0.0
252.0  0.0  0.0
254.0  0.0  0.0
256.0  0.0  0.0
258.0  0.0  0.0
260.0  0.0  0.0
262.0  0.0  0.0
264.0  63436.0  63436.0
266.0  25818.0  25818.0
268.0  155298.0  155298.0
270.0  1614.0  1614.0
272.0  59176.0  59176.0
274.0  38245.0  38245.0
276.0  0.0  0.0
278.0  0.0  0.0
280.0  0.0  0.0
282.0  0.0  0.0
284.0  0.0  0.0
286.0  0.0  0.0
288.0  0.0  0.0
290.0  0.0  0.0
292.0  0.0  0.0
294.0  0.0  0.0
296.0  0.0  0.0
298.0  0.0  0.0
300.0  0.0  0.0
302.0  0.0  0.0
304.0  0.0  0.0
306.0  0.0  0.0
308.0  0.0  0.0
310.0  0.0  0.0
312.0  0.0  0.0
314.0  0.0  0.0
316.0  0.0  0.0
318.0  0.0  0.0
320.0  0.0  0.0
322.0  0.0  0.0
324.0  0.0  0.0
326.0  0.0  0.0
328.0  0.0  0.0
330.0  0.0  0.0
332.0  0.0  0.0
334.0  0.0  0.0
336.0  0.0  0.0
338.0  0.0  0.0
340.0  0.0  0.0
342.0  0.0  0.0
344.0  0.0  0.0
346.0  0.0  0.0
348.0  0.0  0.0
350.0  0.0  0.0
352.0  0.0  0.0
354.0  0.0  0.0
356.0  0.0  0.0
358.0  0.0  0.0
360.0  0.0  0.0
362.0  0.0  0.0
364.0  0.0  0.0
366.0  0.0  0.0
368.0  0.0  0.0
370.0  0.0  0.0
372.0  0.0  0.0
374.0  0.0  0.0
376.0  0.0  0.0
378.0  0.0  0.0
380.0  0.0  0.0
382.0  807.0  807.0
384.0  0.0  0.0
386.0  0.0  0.0
388.0  0.0  0.0
390.0  0.0  0.0
392.0  6298.0  6298.0
394.0  0.0  0.0
396.0  0.0  0.0
398.0  0.0  0.0
400.0  906.0  906.0
402.0  48049.0  48049.0
404.0  0.0  0.0
406.0  807.0  807.0
408.0  1724.0  1724.0
410.0  0.0  0.0
412.0  35495.0  35495.0
414.0  121.0  121.0
416.0  0.0  0.0
418.0  38245.0  38245.0
420.0  0.0  0.0
422.0  56324.0  56324.0
424.0  0.0  0.0
426.0  0.0  0.0
428.0  0.0  0.0
430.0  51016.0  51016.0
432.0  0.0  0.0
434.0  14524.0  14524.0
436.0  0.0  0.0
438.0  0.0  0.0
440.0  0.0  0.0
442.0  198.0  198.0
444.0  0.0  0.0
446.0  25584.0  32689.0
448.0  0.0  25584.0
450.0  0.0  0.0
452.0  0.0  0.0
454.0  0.0  0.0
456.0  0.0  0.0
458.0  0.0  0.0
460.0  0.0  0.0
462.0  0.0  0.0
464.0  0.0  0.0
466.0  0.0  0.0
468.0  0.0  0.0
470.0  99.0  99.0
472.0  0.0  0.0
474.0  906.0  906.0
476.0  26391.0  26391.0
478.0  47341.0  47341.0
480.0  16149.0  16149.0
482.0  807.0  807.0
484.0  0.0  0.0
486.0  0.0  0.0
488.0  0.0  0.0
490.0  0.0  0.0
492.0  0.0  0.0
494.0  0.0  0.0
496.0  0.0  0.0
498.0  0.0  0.0
500.0  52165.0  52165.0
502.0  198.0  198.0
504.0  0.0  0.0
506.0  0.0  0.0
508.0  0.0  0.0
510.0  0.0  0.0
512.0  0.0  0.0
514.0  0.0  0.0
516.0  0.0  0.0
518.0  0.0  0.0
520.0  0.0  0.0
522.0  0.0  0.0
524.0  0.0  0.0
526.0  0.0  0.0
528.0  0.0  0.0
530.0  0.0  0.0
532.0  0.0  0.0
534.0  0.0  0.0
536.0  35495.0  35495.0
538.0  906.0  906.0
540.0  99.0  99.0
542.0  0.0  0.0
544.0  0.0  0.0
546.0  0.0  0.0
548.0  0.0  0.0
550.0  0.0  0.0
552.0  0.0  0.0
554.0  0.0  0.0
556.0  0.0  0.0
558.0  0.0  0.0
560.0  0.0  0.0
562.0  0.0  0.0
564.0  35594.0  35594.0
566.0  51724.0  51724.0
568.0  28365.0  28365.0
570.0  0.0  0.0
572.0  105753.0  105753.0
574.0  0.0  0.0
576.0  48344.0  48344.0
578.0  46487.0  46487.0
580.0  60053.0  60053.0
582.0  19545.0  19545.0
584.0  906.0  906.0
586.0  906.0  906.0
588.0  39031.0  39031.0
590.0  32699.0  32699.0
592.0  0.0  0.0
594.0  0.0  0.0
596.0  0.0  0.0
598.0  0.0  0.0
600.0  0.0  0.0
602.0  0.0  0.0
604.0  0.0  0.0
606.0  0.0  0.0
608.0  0.0  0.0
610.0  0.0  0.0
612.0  0.0  0.0
614.0  0.0  0.0
616.0  0.0  0.0
618.0  0.0  0.0
620.0  0.0  0.0
622.0  0.0  0.0
624.0  0.0  0.0
626.0  807.0  6822.0
628.0  53257.0  53257.0
630.0  906.0  906.0
632.0  24607.0  24607.0
634.0  33110.0  33110.0
636.0  19545.0  19545.0
638.0  111891.0  111891.0
640.0  6298.0  6298.0
642.0  0.0  0.0
644.0  807.0  8462.0
646.0  99.0  99.0
648.0  0.0  0.0
650.0  0.0  0.0
652.0  0.0  0.0
654.0  0.0  0.0
656.0  0.0  0.0
658.0  0.0  0.0
660.0  0.0  0.0
662.0  0.0  0.0
664.0  0.0  0.0
666.0  0.0  0.0
668.0  0.0  0.0
670.0  0.0  0.0
672.0  0.0  0.0
674.0  0.0  0.0
676.0  0.0  0.0
678.0  56345.0  56345.0
680.0  87868.0  87868.0
682.0  972.0  7978.0
684.0  62267.0  62267.0
686.0  1812.0  1812.0
688.0  145222.0  145222.0
690.0  906.0  906.0
692.0  30806.0  30806.0
694.0  130571.0  130571.0
696.0  26262.0  26262.0
698.0  32577.0  32577.0
700.0  99.0  99.0
702.0  0.0  0.0
704.0  0.0  55112.0
706.0  807.0  56134.0
708.0  0.0  165.0
710.0  0.0  0.0
712.0  0.0  0.0
714.0  0.0  0.0
716.0  0.0  0.0
718.0  0.0  0.0
720.0  0.0  0.0
722.0  0.0  0.0
724.0  25554.0  25554.0
726.0  0.0  807.0
728.0  0.0  0.0
730.0  0.0  0.0
732.0  0.0  0.0
734.0  6155.0  12310.0
736.0  0.0  0.0
738.0  0.0  0.0
740.0  0.0  0.0
742.0  21978.0  21978.0
744.0  0.0  0.0
746.0  0.0  0.0
748.0  0.0  0.0
750.0  0.0  0.0
752.0  0.0  0.0
754.0  0.0  0.0
756.0  0.0  0.0
758.0  0.0  0.0
760.0  1614.0  1614.0
762.0  20253.0  20253.0
764.0  55703.0  55703.0
766.0  928.0  928.0
768.0  0.0  0.0
770.0  0.0  0.0
772.0  0.0  0.0
774.0  0.0  0.0
776.0  0.0  0.0
778.0  0.0  0.0
780.0  0.0  0.0
782.0  807.0  807.0
784.0  0.0  0.0
786.0  23921.0  23921.0
788.0  0.0  0.0
790.0  0.0  0.0
792.0  26507.0  26507.0
794.0  0.0  0.0
796.0  0.0  0.0
798.0  0.0  0.0
800.0  0.0  0.0
802.0  0.0  0.0
804.0  0.0  0.0
806.0  0.0  0.0
808.0  0.0  0.0
810.0  0.0  0.0
812.0  0.0  0.0
814.0  0.0  0.0
816.0  0.0  0.0
818.0  0.0  0.0
820.0  0.0  0.0
822.0  0.0  0.0
824.0  0.0  0.0
826.0  99.0  99.0
828.0  0.0  0.0
830.0  0.0  99.0
832.0  807.0  807.0
834.0  0.0  0.0
836.0  0.0  0.0
838.0  0.0  0.0
840.0  807.0  807.0
842.0  0.0  0.0
844.0  99.0  99.0
846.0  0.0  0.0
848.0  33746.0  33746.0
850.0  0.0  0.0
852.0  0.0  0.0
854.0  0.0  0.0
856.0  0.0  0.0
858.0  0.0  0.0
860.0  0.0  0.0
862.0  0.0  0.0
864.0  0.0  0.0
866.0  0.0  0.0
868.0  0.0  0.0
870.0  0.0  0.0
872.0  12677.0  12677.0
874.0  6962.0  6962.0
876.0  26606.0  26606.0
878.0  972.0  972.0
880.0  34200.0  34200.0
882.0  22785.0  22785.0
884.0  220.0  220.0
886.0  98921.0  98921.0
888.0  75410.0  75410.0
890.0  54404.0  54404.0
892.0  0.0  0.0
894.0  0.0  0.0
896.0  0.0  0.0
898.0  0.0  0.0
900.0  0.0  0.0
902.0  0.0  0.0
904.0  0.0  0.0
906.0  0.0  0.0
908.0  0.0  0.0
910.0  0.0  0.0
912.0  0.0  0.0
914.0  0.0  0.0
916.0  0.0  0.0
918.0  0.0  0.0
920.0  0.0  0.0
922.0  0.0  0.0
924.0  0.0  0.0
926.0  0.0  0.0
928.0  0.0  0.0
930.0  0.0  0.0
932.0  0.0  0.0
934.0  0.0  0.0
936.0  807.0  5021.0
938.0  906.0  906.0
940.0  4.705409E7  4.705409E7
942.0  0.0  0.0
944.0  4214.0  4214.0
946.0  2403.0  2403.0
948.0  906.0  906.0
950.0  0.0  0.0
952.0  0.0  0.0
954.0  0.0  0.0
956.0  0.0  0.0
958.0  0.0  0.0
960.0  0.0  0.0
962.0  3807.0  11462.0
964.0  0.0  2695.0
966.0  0.0  14219.0
968.0  0.0  7611.0
970.0  0.0  3906.0
972.0  0.0  1614.0
974.0  0.0  4.7054189E7
976.0  0.0  0.0
978.0  0.0  0.0
980.0  0.0  2304.0
982.0  0.0  0.0
984.0  0.0  0.0
986.0  0.0  0.0
988.0  0.0  0.0
990.0  0.0  0.0
992.0  1375214.0  1375214.0
994.0  93759.0  93759.0
996.0  0.0  0.0
998.0  0.0  0.0
1000.0  0.0  0.0
1002.0  0.0  0.0
1004.0  0.0  0.0
1006.0  0.0  0.0
1008.0  0.0  0.0
1010.0  0.0  0.0
1012.0  0.0  0.0
1014.0  0.0  0.0
1016.0  0.0  0.0
1018.0  0.0  0.0
1020.0  0.0  0.0
1022.0  14927.0  14927.0
1024.0  0.0  0.0
1026.0  0.0  0.0
1028.0  0.0  0.0
1030.0  928.0  928.0
1032.0  27975.0  27975.0
1034.0  807.0  807.0
1036.0  0.0  0.0
1038.0  807.0  807.0
1040.0  0.0  0.0
1042.0  0.0  0.0
1044.0  0.0  0.0
1046.0  0.0  0.0
1048.0  0.0  0.0
1050.0  0.0  0.0
1052.0  0.0  0.0
1054.0  0.0  0.0
1056.0  0.0  0.0
1058.0  0.0  0.0
1060.0  0.0  0.0
1062.0  0.0  0.0
1064.0  0.0  0.0
1066.0  0.0  0.0
1068.0  0.0  0.0
1070.0  0.0  0.0
1072.0  0.0  0.0
1074.0  0.0  0.0
1076.0  0.0  0.0
1078.0  0.0  0.0
1080.0  0.0  0.0
1082.0  32939.0  32939.0
1084.0  0.0  0.0
1086.0  0.0  0.0
1088.0  0.0  0.0
1090.0  0.0  0.0
1092.0  0.0  0.0
1094.0  0.0  0.0
1096.0  0.0  0.0
1098.0  0.0  0.0
1100.0  0.0  0.0
1102.0  0.0  0.0
1104.0  0.0  0.0
1106.0  0.0  0.0
1108.0  0.0  0.0
1110.0  0.0  0.0
1112.0  0.0  0.0
1114.0  0.0  0.0
1116.0  0.0  0.0
1118.0  0.0  0.0
1120.0  0.0  0.0
1122.0  0.0  0.0
1124.0  0.0  0.0
1126.0  0.0  0.0
1128.0  0.0  0.0
1130.0  0.0  0.0
1132.0  0.0  0.0
1134.0  0.0  0.0
1136.0  0.0  0.0
1138.0  0.0  0.0
1140.0  0.0  0.0
1142.0  0.0  0.0
1144.0  0.0  0.0
1146.0  0.0  0.0
1148.0  0.0  0.0
1150.0  0.0  0.0
1152.0  49937.0  49937.0
1154.0  198.0  198.0
1156.0  906.0  906.0
1158.0  0.0  0.0
1160.0  58976.0  58976.0
1162.0  807.0  807.0
1164.0  0.0  0.0
1166.0  0.0  0.0
1168.0  0.0  0.0
1170.0  0.0  0.0
1172.0  0.0  0.0
1174.0  0.0  0.0
1176.0  0.0  0.0
1178.0  99.0  99.0
1180.0  0.0  0.0
1182.0  0.0  0.0
1184.0  10298.0  10298.0
1186.0  0.0  0.0
1188.0  0.0  0.0
1190.0  0.0  0.0
1192.0  121.0  121.0
1194.0  99.0  99.0
1196.0  0.0  0.0
1198.0  67610.0  67610.0
1200.0  0.0  0.0
1202.0  0.0  0.0
1204.0  0.0  0.0
1206.0  0.0  0.0
1208.0  0.0  0.0
1210.0  0.0  0.0
1212.0  0.0  0.0
1214.0  0.0  0.0
1216.0  0.0  0.0
1218.0  0.0  0.0
1220.0  807.0  807.0
1222.0  18690.0  18690.0
1224.0  0.0  0.0
1226.0  0.0  0.0
1228.0  0.0  0.0
1230.0  0.0  0.0
1232.0  0.0  0.0
1234.0  0.0  0.0
1236.0  0.0  0.0
1238.0  0.0  0.0
1240.0  0.0  0.0
1242.0  0.0  0.0
1244.0  0.0  0.0
1246.0  37223.0  37223.0
1248.0  17066.0  17066.0
1250.0  906.0  906.0
1252.0  1614.0  1614.0
1254.0  49229.0  49229.0
1256.0  10397.0  10397.0
1258.0  18789.0  18789.0
1260.0  22681.0  22681.0
1262.0  0.0  0.0
1264.0  0.0  0.0
1266.0  63412.0  63412.0
1268.0  63843.0  63843.0
1270.0  0.0  0.0
1272.0  0.0  0.0
1274.0  807.0  1614.0
1276.0  20477.0  20477.0
1278.0  0.0  0.0
1280.0  0.0  0.0
1282.0  0.0  0.0
1284.0  0.0  0.0
1286.0  0.0  0.0
1288.0  0.0  0.0
1290.0  121.0  121.0
1292.0  0.0  0.0
1294.0  180283.0  180283.0
1296.0  157006.0  157006.0
1298.0  2671.0  2671.0
1300.0  0.0  0.0
1302.0  0.0  0.0
1304.0  807.0  807.0
1306.0  0.0  0.0
1308.0  0.0  0.0
1310.0  0.0  0.0
1312.0  0.0  0.0
1314.0  0.0  0.0
1316.0  0.0  0.0
1318.0  0.0  0.0
1320.0  0.0  0.0
1322.0  0.0  0.0
1324.0  0.0  0.0
1326.0  1579.0  1579.0
1328.0  0.0  0.0
1330.0  0.0  0.0
1332.0  0.0  0.0
1334.0  0.0  0.0
1336.0  0.0  0.0
1338.0  0.0  0.0
1340.0  0.0  0.0
1342.0  0.0  0.0
1344.0  0.0  0.0
1346.0  0.0  0.0
1348.0  0.0  0.0
1350.0  0.0  0.0
1352.0  0.0  0.0
1354.0  0.0  0.0
1356.0  0.0  0.0
1358.0  0.0  0.0
1360.0  0.0  0.0
1362.0  0.0  0.0
1364.0  0.0  0.0
1366.0  0.0  0.0
1368.0  0.0  0.0
1370.0  0.0  0.0
1372.0  0.0  0.0
1374.0  0.0  0.0
1376.0  0.0  0.0
1378.0  0.0  0.0
1380.0  0.0  0.0
1382.0  99.0  99.0
1384.0  99.0  99.0
1386.0  0.0  0.0
1388.0  0.0  0.0
1390.0  0.0  0.0
1392.0  0.0  9118.0
1394.0  25925.0  25925.0
1396.0  51487.0  51487.0
1398.0  63964.0  63964.0
1400.0  63412.0  63412.0
1402.0  928.0  928.0
1404.0  21957.0  21957.0
1406.0  13771.0  13771.0
1408.0  9925.0  9925.0
1410.0  928.0  928.0
1412.0  19497.0  19497.0
1414.0  99.0  99.0
1416.0  0.0  242.0
1418.0  63843.0  63964.0
1420.0  40006.0  40006.0
1422.0  20576.0  37683.0
1424.0  928.0  928.0
1426.0  51487.0  51487.0
1428.0  220.0  341.0
1430.0  54959.0  54959.0
1432.0  2287.0  2287.0
1434.0  16967.0  16967.0
1436.0  0.0  0.0
1438.0  0.0  0.0
1440.0  0.0  0.0
1442.0  0.0  807.0
1444.0  0.0  0.0
1446.0  121.0  121.0
1448.0  0.0  0.0
1450.0  807.0  807.0
1452.0  13672.0  13672.0
1454.0  906.0  906.0
1456.0  0.0  0.0
1458.0  0.0  0.0
1460.0  0.0  0.0
1462.0  0.0  0.0
1464.0  0.0  0.0
1466.0  0.0  0.0
1468.0  0.0  0.0
1470.0  0.0  0.0
1472.0  0.0  0.0
1474.0  0.0  0.0
1476.0  0.0  0.0
1478.0  0.0  0.0
1480.0  99.0  99.0
1482.0  0.0  0.0
1484.0  0.0  0.0
1486.0  0.0  0.0
1488.0  0.0  0.0
1490.0  0.0  0.0
1492.0  0.0  0.0
1494.0  0.0  0.0
1496.0  124.0  124.0
1498.0  0.0  0.0
1500.0  0.0  0.0
1502.0  3490.0  3490.0
1504.0  0.0  0.0
1506.0  0.0  0.0
1508.0  0.0  0.0
1510.0  0.0  0.0
1512.0  99.0  99.0
1514.0  0.0  0.0
1516.0  0.0  0.0
1518.0  26535.0  26535.0
1520.0  220.0  220.0
1522.0  0.0  0.0
1524.0  0.0  0.0
1526.0  8853.0  8853.0
1528.0  0.0  0.0
1530.0  0.0  0.0
1532.0  0.0  0.0
1534.0  0.0  0.0
1536.0  0.0  0.0
1538.0  0.0  0.0
1540.0  0.0  0.0
1542.0  0.0  0.0
1544.0  121.0  121.0
1546.0  807.0  807.0
1548.0  0.0  0.0
1550.0  0.0  0.0
1552.0  0.0  0.0
1554.0  0.0  0.0
1556.0  0.0  0.0
1558.0  0.0  0.0
1560.0  0.0  0.0
1562.0  0.0  0.0
1564.0  20911.0  20911.0
1566.0  18995.0  18995.0
1568.0  0.0  0.0
1570.0  0.0  0.0
1572.0  0.0  18995.0
1574.0  99.0  21010.0
1576.0  0.0  0.0
1578.0  76155.0  76155.0
1580.0  0.0  0.0
1582.0  807.0  76962.0
1584.0  0.0  0.0
1586.0  0.0  0.0
1588.0  0.0  0.0
1590.0  0.0  807.0
1592.0  0.0  0.0
1594.0  38375.0  38375.0
1596.0  0.0  0.0
1598.0  512.0  512.0
1600.0  144155.0  144155.0
1602.0  0.0  0.0
1604.0  0.0  0.0
1606.0  0.0  0.0
1608.0  0.0  0.0
1610.0  0.0  0.0
1612.0  0.0  0.0
1614.0  0.0  0.0
1616.0  0.0  0.0
1618.0  0.0  0.0
1620.0  0.0  0.0
1622.0  0.0  0.0
1624.0  0.0  0.0
1626.0  0.0  0.0
1628.0  0.0  0.0
1630.0  0.0  0.0
1632.0  0.0  0.0
1634.0  0.0  0.0
1636.0  0.0  0.0
1638.0  0.0  0.0
1640.0  0.0  0.0
1642.0  0.0  0.0
1644.0  0.0  0.0
1646.0  0.0  0.0
1648.0  0.0  0.0
1650.0  0.0  0.0
1652.0  0.0  0.0
1654.0  0.0  0.0
1656.0  0.0  0.0
1658.0  0.0  0.0
1660.0  0.0  0.0
1662.0  0.0  0.0
1664.0  0.0  0.0
1666.0  0.0  0.0
1668.0  0.0  0.0
1670.0  0.0  0.0
1672.0  0.0  0.0
1674.0  0.0  512.0
1676.0  7180.0  7180.0
1678.0  10446.0  10446.0
1680.0  15040.0  15040.0
1682.0  37213.0  37213.0
1684.0  0.0  0.0
1686.0  0.0  0.0
1688.0  0.0  0.0
1690.0  0.0  0.0
1692.0  0.0  0.0
1694.0  0.0  0.0
1696.0  0.0  0.0
1698.0  0.0  0.0
1700.0  0.0  0.0
1702.0  0.0  0.0
1704.0  0.0  0.0
1706.0  0.0  0.0
1708.0  0.0  0.0
1710.0  0.0  0.0
1712.0  0.0  0.0
1714.0  0.0  0.0
1716.0  0.0  0.0
1718.0  0.0  0.0
1720.0  0.0  0.0
1722.0  0.0  0.0
1724.0  0.0  0.0
1726.0  0.0  0.0
1728.0  0.0  0.0
1730.0  0.0  0.0
1732.0  0.0  0.0
1734.0  0.0  0.0
1736.0  0.0  77228.0
1738.0  0.0  114508.0
1740.0  0.0  14217.0
1742.0  0.0  99.0
1744.0  0.0  0.0
1746.0  0.0  0.0
1748.0  0.0  0.0
1750.0  0.0  0.0
1752.0  0.0  0.0
1754.0  0.0  0.0
1756.0  81169.0  81169.0
1758.0  121165.0  121165.0
1760.0  1319.0  1319.0
1762.0  10375.0  10375.0
1764.0  170.0  170.0
1766.0  0.0  0.0
1768.0  0.0  0.0
1770.0  0.0  0.0
1772.0  121.0  121.0
1774.0  118279.0  118279.0
1776.0  11083.0  11083.0
1778.0  77398.0  77398.0
1780.0  0.0  0.0
1782.0  0.0  0.0
1784.0  0.0  0.0
1786.0  0.0  0.0
1788.0  0.0  0.0
1790.0  0.0  0.0
1792.0  0.0  0.0
1794.0  0.0  0.0
1796.0  0.0  0.0
1798.0  0.0  0.0
1800.0  0.0  0.0
1802.0  18995.0  18995.0
1804.0  20911.0  20911.0
1806.0  807.0  807.0
1808.0  0.0  0.0
1810.0  324.0  324.0
1812.0  36428.0  36428.0
1814.0  62609.0  62609.0
1816.0  7180.0  7180.0
1818.0  25999.0  25999.0
1820.0  2524.0  2524.0
1822.0  28608.0  28608.0
1824.0  22210.0  22210.0
1826.0  0.0  0.0
1828.0  0.0  0.0
1830.0  0.0  0.0
1832.0  0.0  0.0
1834.0  0.0  0.0
1836.0  0.0  0.0
1838.0  0.0  0.0
1840.0  0.0  0.0
1842.0  0.0  0.0
1844.0  0.0  0.0
1846.0  0.0  0.0
1848.0  0.0  0.0
1850.0  0.0  0.0
1852.0  0.0  0.0
1854.0  0.0  0.0
1856.0  0.0  0.0
1858.0  0.0  0.0
1860.0  0.0  0.0
1862.0  0.0  0.0
1864.0  0.0  0.0
1866.0  0.0  0.0
1868.0  0.0  0.0
1870.0  0.0  0.0
1872.0  0.0  0.0
1874.0  0.0  0.0
1876.0  0.0  0.0
1878.0  0.0  0.0
1880.0  0.0  0.0
1882.0  0.0  0.0
1884.0  0.0  0.0
1886.0  0.0  0.0
1888.0  0.0  0.0
1890.0  0.0  0.0
1892.0  0.0  0.0
1894.0  0.0  0.0
1896.0  0.0  0.0
1898.0  0.0  0.0
1900.0  0.0  0.0
1902.0  0.0  0.0
1904.0  0.0  0.0
1906.0  0.0  0.0
1908.0  0.0  0.0
1910.0  0.0  0.0
1912.0  0.0  0.0
1914.0  0.0  0.0
1916.0  0.0  0.0
1918.0  0.0  0.0
1920.0  99.0  99.0
1922.0  0.0  0.0
1924.0  111512.0  111512.0
1926.0  0.0  0.0
1928.0  0.0  0.0
1930.0  0.0  0.0
1932.0  0.0  0.0
1934.0  0.0  0.0
1936.0  65029.0  65029.0
1938.0  6983.0  6983.0
1940.0  0.0  0.0
1942.0  807.0  807.0
1944.0  807.0  807.0
1946.0  99.0  99.0
1948.0  807.0  11261.0
1950.0  99.0  3694.0
1952.0  121.0  56216.0
1954.0  121.0  242.0
1956.0  0.0  0.0
1958.0  0.0  0.0
1960.0  0.0  0.0
1962.0  0.0  0.0
1964.0  0.0  0.0
1966.0  9647.0  9647.0
1968.0  0.0  121.0
1970.0  121.0  121.0
1972.0  56285.0  56285.0
1974.0  0.0  0.0
1976.0  0.0  0.0
1978.0  807.0  807.0
1980.0  0.0  0.0
1982.0  121.0  121.0
1984.0  2049.0  2049.0
1986.0  18018.0  18018.0
1988.0  220.0  220.0
1990.0  0.0  0.0
1992.0  0.0  0.0
1994.0  0.0  0.0
1996.0  0.0  0.0
1998.0  0.0  0.0
2000.0  0.0  0.0
2002.0  0.0  0.0
2004.0  0.0  0.0
2006.0  3834.0  3834.0
2008.0  0.0  0.0
2010.0  0.0  0.0
2012.0  0.0  0.0
2014.0  0.0  807.0
2016.0  0.0  0.0
2018.0  410.0  410.0
2020.0  198.0  198.0
2022.0  1614.0  1614.0
2024.0  114539.0  114539.0
2026.0  220.0  220.0
2028.0  7790.0  7790.0
2030.0  56117.0  56117.0
2032.0  807.0  807.0
2034.0  0.0  0.0
2036.0  0.0  0.0
2038.0  0.0  0.0
2040.0  0.0  0.0
2042.0  0.0  807.0
2044.0  0.0  807.0
2046.0  807.0  807.0
2048.0  0.0  0.0
2050.0  0.0  0.0
2052.0  0.0  0.0
2054.0  0.0  0.0
2056.0  0.0  0.0
2058.0  0.0  0.0
2060.0  0.0  0.0
2062.0  0.0  0.0
2064.0  0.0  71481.0
2066.0  72793.0  72793.0
2068.0  0.0  0.0
2070.0  0.0  0.0
2072.0  0.0  0.0
2074.0  0.0  0.0
2076.0  0.0  0.0
2078.0  0.0  0.0
2080.0  0.0  0.0
2082.0  0.0  0.0
2084.0  0.0  0.0
2086.0  0.0  0.0
2088.0  0.0  0.0
2090.0  0.0  0.0
2092.0  0.0  0.0
2094.0  124.0  124.0
2096.0  0.0  0.0
2098.0  0.0  0.0
2100.0  61094.0  61094.0
2102.0  1157.0  1157.0
2104.0  3265.0  3265.0
2106.0  35866.0  35866.0
2108.0  452.0  452.0
2110.0  0.0  0.0
2112.0  0.0  0.0
2114.0  0.0  0.0
2116.0  0.0  0.0
2118.0  0.0  0.0
2120.0  0.0  0.0
2122.0  0.0  0.0
2124.0  0.0  0.0
2126.0  0.0  0.0
2128.0  0.0  0.0
2130.0  0.0  0.0
2132.0  0.0  0.0
2134.0  0.0  0.0
2136.0  0.0  0.0
2138.0  0.0  0.0
2140.0  0.0  0.0
2142.0  0.0  0.0
2144.0  0.0  0.0
2146.0  0.0  0.0
2148.0  0.0  0.0
2150.0  0.0  0.0
2152.0  0.0  0.0
2154.0  0.0  0.0
2156.0  0.0  0.0
2158.0  0.0  0.0
2160.0  0.0  0.0
2162.0  0.0  0.0
2164.0  99.0  99.0
2166.0  0.0  0.0
2168.0  0.0  0.0
2170.0  0.0  0.0
2172.0  0.0  0.0
2174.0  22234.0  44468.0
2176.0  224.0  224.0
2178.0  1462.0  1462.0
2180.0  906.0  906.0
2182.0  1.0604615E7  1.0604615E7
2184.0  807.0  807.0
2186.0  71602.0  71602.0
2188.0  928.0  928.0
2190.0  1614.0  1614.0
2192.0  5146.0  5146.0
2194.0  99.0  99.0
2196.0  0.0  0.0
2198.0  0.0  1.0601408E7
2200.0  0.0  0.0
2202.0  22234.0  22234.0
2204.0  198.0  198.0
2206.0  99.0  99.0
2208.0  0.0  0.0
2210.0  0.0  928.0
2212.0  0.0  121.0
2214.0  0.0  0.0
2216.0  0.0  0.0
2218.0  0.0  0.0
2220.0  0.0  0.0
2222.0  807.0  1614.0
2224.0  0.0  0.0
2226.0  99.0  99.0
2228.0  0.0  0.0
2230.0  0.0  0.0
2232.0  25272.0  25272.0
2234.0  0.0  0.0
2236.0  0.0  0.0
2238.0  0.0  0.0
2240.0  0.0  0.0
2242.0  0.0  0.0
2244.0  0.0  0.0
2246.0  0.0  0.0
2248.0  807.0  807.0
2250.0  0.0  0.0
2252.0  0.0  0.0
2254.0  0.0  0.0
2256.0  0.0  0.0
2258.0  0.0  0.0
2260.0  0.0  0.0
2262.0  0.0  0.0
2264.0  0.0  0.0
2266.0  0.0  0.0
2268.0  0.0  0.0
2270.0  0.0  71481.0
2272.0  807.0  906.0
2274.0  0.0  198.0
2276.0  0.0  223.0
2278.0  0.0  4072.0
2280.0  0.0  23546.0
2282.0  0.0  125.0
2284.0  0.0  0.0
2286.0  0.0  0.0
2288.0  906.0  906.0
2290.0  26079.0  26079.0
2292.0  93715.0  93715.0
2294.0  1411.0  1411.0
2296.0  224.0  224.0
2298.0  223.0  223.0
2300.0  4072.0  4072.0
2302.0  906.0  906.0
2304.0  17165.0  17165.0
2306.0  0.0  0.0
2308.0  0.0  0.0
2310.0  0.0  0.0
2312.0  0.0  0.0
2314.0  25272.0  25272.0
2316.0  1614.0  1614.0
2318.0  17972.0  17972.0
2320.0  198.0  198.0
2322.0  0.0  0.0
2324.0  906.0  906.0
2326.0  17165.0  17165.0
2328.0  0.0  0.0
2330.0  0.0  0.0
2332.0  0.0  0.0
2334.0  0.0  0.0
2336.0  87560.0  87560.0
2338.0  0.0  0.0
2340.0  0.0  0.0
2342.0  0.0  0.0
2344.0  0.0  0.0
2346.0  0.0  0.0
2348.0  0.0  0.0
2350.0  0.0  0.0
2352.0  0.0  0.0
2354.0  0.0  0.0
2356.0  0.0  0.0
2358.0  55140.0  55140.0
2360.0  5957.0  5957.0
2362.0  4795.0  4795.0
2364.0  0.0  0.0
2366.0  0.0  0.0
2368.0  0.0  5150.0
2370.0  13807.0  13807.0
2372.0  99.0  99.0
2374.0  0.0  0.0
2376.0  0.0  0.0
2378.0  0.0  0.0
2380.0  0.0  0.0
2382.0  0.0  0.0
2384.0  0.0  0.0
2386.0  0.0  0.0
2388.0  0.0  0.0
2390.0  0.0  0.0
2392.0  0.0  0.0
2394.0  0.0  0.0
